ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Author
532,,IndyGO Blue Line Rapid Transit,2019,36,Introduction,Small Starts,Indianapolis,IN,BRT,zi
533,,West Lake Corridor,2016,4,Expansion,New Starts,Hammond,IN,Commuter Rail,zi
534,,South Shore Line /Double Track Northwest Indiana,2016,5,Improvement,Core Capacity,Gary,IN,Commuter Rail,zi
535,,New Britain Hartford Busway,2000,12,Introduction,New Starts,Hartford,CT,BRT,zi
536,,Urban Transitway Phase II,2006,5,Expansion,New Starts,Stamford,CT,Transitway,zi
537,,Urban Transitway Phase I,2000,0,Improvement,New Starts,Stamford,CT,Transitway,zi
538,,Bridgeport Innermodal Transportation Center Phase 2B and 3,2001,1,Expansion,New Starts,Bridgeport,CT,Intermodal,zi
539,,High Capacity Transit Corridor Project,2011,21,Introduction,New Starts,Honolulu,HI,Transitway,zi
540,,Primary Corridor Transportation Project,2001,20,Introduction,New Starts,Honolulu,HI,BRT,zi
541,,Division Avenue BRT,2007,18,Introduction,Very Small Starts,Grand Rapids,MI,BRT,zi
542,,Laker Line BRT,2015,11,Introduction,Small Starts,Grand Rapids,MI,BRT,zi
543,,Michigan/Grand River BRT,2013,28,Introduction,Small Starts,Lansing,MI,BRT,zi
544,,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,2014,20,Introduction,Small Starts,Albuquerque,NM,BRT,zi
545,,4th Street/Prater Way BRT Project,2013,8,Introduction,Small Starts,Reno,NV,BRT,zi
546,,Virginia Street BRT Extension Project,2014,4,Expansion,Small Starts,Reno,NV,BRT,zi
547,,Resort Corridor Fixed Guideway,1998,7,Expansion,New Starts,Las Vegas,NV,BRT,zi
